#
#     Code: data.txt 
#
#     Author:  Joshua Peterson
#   
#     Date:            Data for MCNP or scale
#
#     Description:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
########################################  

 Name   Name      Identifier  Mass (amu)  Nuclide_Type_1_act_2_U+_3_fp
zn-81      zn81      30081      80.9505          1
zn-82      zn82      30082      81.9544          1
zn-83      zn83      30083      82.961           1
ga-56      ga56      31056      55.9949          1
ga-57      ga57      31057      56.9829          1
ga-58      ga58      31058      57.9743          1
ga-59      ga59      31059      58.9634          1
ga-60      ga60      31060      59.9571          1
ga-61      ga61      31061      60.9495          1
ga-62      ga62      31062      61.9442          1
ga-63      ga63      31063      62.9393          1
ga-64      ga64      31064      63.9368          1
ga-65      ga65      31065      64.9327          1
ga-66      ga66      31066      65.9316          1
ga-67      ga67      31067      66.9282          1
ga-68      ga68      31068      67.928           1
ga-69      ga69      31069      68.9256          1
ga-70      ga70      31070      69.926           1
ga-71      ga71      31071      70.9247          1
ga-72      ga72      31072      71.9264          1
ga-73      ga73      31073      72.9252          1
ga-74      ga74      31074      73.9269          1
ga-75      ga75      31075      74.9265          1
ga-76      ga76      31076      75.9288          1
ga-77      ga77      31077      76.9292          1
ga-78      ga78      31078      77.9316          1
ga-79      ga79      31079      78.9329          1
ga-80      ga80      31080      79.9365          1
ga-81      ga81      31081      80.9378          1
ga-82      ga82      31082      81.943           1
ga-83      ga83      31083      82.947           1
ga-84      ga84      31084      83.9527          1
ga-85      ga85      31085      84.957           1
ga-86      ga86      31086      85.9631          1
ge-58      ge58      32058      57.991           3
ge-59      ge59      32059      58.9818          3
ge-60      ge60      32060      59.9702          3
ge-61      ge61      32061      60.9638          3
ge-62      ge62      32062      61.9547          3
ge-63      ge63      32063      62.9496          3
ge-64      ge64      32064      63.9417          3
ge-65      ge65      32065      64.9394          3
ge-66      ge66      32066      65.9338          3
ge-67      ge67      32067      66.9327          3
ge-68      ge68      32068      67.9281          3
ge-69      ge69      32069      68.928           3
ge-70      ge70      32070      69.9242          3
ge-71      ge71      32071      70.9249          3
ge-72      ge72      32072      71.9221          3
ge-73      ge73      32073      72.9235          3
ge-74      ge74      32074      73.9212          3
ge-75      ge75      32075      74.9229          3
ge-76      ge76      32076      75.9214          3
ge-77      ge77      32077      76.9236          3
ge-78      ge78      32078      77.9229          3
ge-79      ge79      32079      78.9254          3
ge-80      ge80      32080      79.9254          3
ge-81      ge81      32081      80.9288          3
ge-82      ge82      32082      81.9296          3
ge-83      ge83      32083      82.9346          3
ge-84      ge84      32084      83.9375          3
ge-85      ge85      32085      84.943           3
ge-86      ge86      32086      85.9465          3
ge-87      ge87      32087      86.9525          3
ge-88      ge88      32088      87.9569          3
ge-89      ge89      32089      88.9638          3
as-60      as60      33060      59.9931          3
as-61      as61      33061      60.9806          3
as-62      as62      33062      61.9732          3
as-63      as63      33063      62.9637          3
as-64      as64      33064      63.9576          3
as-65      as65      33065      64.9496          3
as-66      as66      33066      65.9447          3
as-67      as67      33067      66.9392          3
as-68      as68      33068      67.9368          3
as-69      as69      33069      68.9323          3
as-70      as70      33070      69.9309          3
as-71      as71      33071      70.9271          3
as-72      as72      33072      71.9268          3
as-73      as73      33073      72.9238          3
as-74      as74      33074      73.9239          3
as-75      as75      33075      74.9216          3
as-76      as76      33076      75.9224          3
as-77      as77      33077      76.9206          3
as-78      as78      33078      77.9218          3
as-79      as79      33079      78.921           3
as-80      as80      33080      79.9225          3
as-81      as81      33081      80.9221          3
as-82      as82      33082      81.9245          3
as-83      as83      33083      82.925           3
as-84      as84      33084      83.9291          3
as-85      as85      33085      84.932           3
as-86      as86      33086      85.9365          3
as-87      as87      33087      86.9399          3
